time,train_acc,test_acc
0,0.456772327,0.469999999
100,0.482708931,0.5
200,0.507204592,0.479999989
300,0.534582138,0.49000001
400,0.551873207,0.5
500,0.570605159,0.540000021
600,0.582132578,0.519999981
700,0.603746414,0.529999971
800,0.615273774,0.550000012
900,0.610951006,0.550000012
1000,0.62536025,0.569999993
1100,0.639769435,0.579999983
1200,0.64265132,0.579999983
1300,0.657060504,0.610000014
1400,0.665706038,0.600000024
1500,0.671469748,0.589999974
1600,0.681556225,0.589999974
1700,0.694524467,0.600000024
1800,0.698847234,0.589999974
1900,0.704610944,0.600000024
2000,0.717579246,0.600000024
2100,0.720461071,0.610000014
2200,0.723342955,0.610000014
2300,0.736311257,0.610000014
2400,0.739193082,0.620000005
2500,0.740634024,0.620000005
2600,0.756484151,0.600000024
2700,0.756484151,0.600000024
2800,0.759365976,0.610000014
2900,0.76224786,0.610000014
3000,0.76801151,0.610000014
3100,0.769452453,0.600000024
3200,0.772334278,0.589999974
3300,0.76801151,0.600000024
3400,0.77377522,0.589999974
3500,0.779538929,0.600000024
3600,0.783861697,0.610000014
3700,0.780979812,0.600000024
3800,0.786743522,0.589999974
3900,0.786743522,0.600000024
4000,0.785302579,0.600000024
4100,0.788184464,0.589999974
4200,0.799711823,0.579999983
4300,0.806916416,0.579999983
4400,0.808357358,0.579999983
4500,0.804034591,0.579999983
4600,0.806916416,0.579999983
4700,0.814121008,0.579999983
4800,0.81556195,0.579999983
4900,0.812680125,0.569999993
5000,0.825648427,0.579999983
5100,0.824207485,0.560000002
5200,0.831412077,0.569999993
5300,0.831412077,0.560000002
5400,0.834293962,0.569999993
5500,0.834293962,0.569999993
5600,0.837175786,0.560000002
5700,0.840057611,0.560000002
5800,0.842939496,0.560000002
5900,0.845821321,0.560000002
6000,0.848703146,0.560000002
6100,0.850144088,0.560000002
6200,0.851585031,0.550000012
6300,0.853025913,0.550000012
6400,0.855907798,0.560000002
6500,0.858789623,0.560000002
6600,0.860230565,0.550000012
6700,0.864553332,0.550000012
6800,0.867435157,0.550000012
6900,0.864553332,0.550000012
7000,0.867435157,0.550000012
7100,0.870316982,0.550000012
7200,0.873198867,0.550000012
7300,0.873198867,0.550000012
7400,0.876080692,0.550000012
7500,0.87463975,0.550000012
7600,0.873198867,0.540000021
7700,0.877521634,0.540000021
7800,0.877521634,0.550000012
7900,0.884726226,0.550000012
8000,0.889048994,0.540000021
8100,0.891930819,0.540000021
8200,0.893371761,0.550000012
8300,0.891930819,0.560000002
8400,0.894812703,0.540000021
8500,0.896253586,0.550000012
8600,0.896253586,0.540000021
8700,0.897694528,0.560000002
8800,0.89913547,0.560000002
8900,0.902017295,0.560000002
9000,0.903458238,0.560000002
9100,0.903458238,0.569999993
9200,0.90489912,0.579999983
